78.125 82.2117 27.5655 27.3627 27.2835 (count: 30432)
93.75 90.2527 30.1829 29.9336 30.1361 (count: 30384)
109.375 98.541 32.9793 32.7354 32.8263 (count: 30336)
125 106.724 35.836 35.3902 35.4977 (count: 30288)
140.625 114.648 38.6058 38.1411 37.901 (count: 30240)
156.25 122.594 41.3103 40.8363 40.4475 (count: 30192)
171.875 130.683 44.0478 43.5021 43.1335 (count: 30144)
187.5 138.954 46.7805 46.4173 45.7558 (count: 30096)
203.125 147.292 49.6327 49.1837 48.4753 (count: 30048)
218.75 155.487 52.5863 51.8338 51.0667 (count: 30000)
234.375 163.803 55.6072 54.3463 53.8492 (count: 29952)
250 172.243 58.6229 57.0111 56.6093 (count: 29904)
265.625 180.368 61.4379 59.819 59.111 (count: 29856)
281.25 188.441 64.2738 62.376 61.7911 (count: 29808)
296.875 196.688 66.9731 65.1518 64.5628 (count: 29760)
312.5 205.108 69.8803 68.0211 67.2069 (count: 29712)
328.125 213.032 72.4402 70.6925 69.8996 (count: 29664)
343.75 221.566 75.5737 73.4053 72.5867 (count: 29616)
359.375 230.01 78.3907 76.2565 75.363 (count: 29568)
375 238.376 81.4625 78.8069 78.1063 (count: 29520)
390.625 251.238 83.6216 85.5004 82.116 (count: 1152)
781.25 465.035 159.489 152.716 152.831 (count: 1104)
1171.88 668.653 228.519 214.088 226.046 (count: 1056)
1562.5 875.714 290.122 283.821 301.77 (count: 1008)
1953.12 1083.23 354.517 343.848 384.868 (count: 960)
2343.75 1303.96 419.748 409.273 474.939 (count: 912)
2734.38 1540.38 486.927 477.017 576.437 (count: 864)
3125 1766.73 554.77 537.565 674.392 (count: 816)
3515.62 1999.25 629.003 583.64 786.611 (count: 768)
3906.25 2217.13 701.713 633.4 882.02 (count: 720)
4296.88 2420.35 779.584 687.027 953.74 (count: 672)
4687.5 2631.88 857.076 739.493 1035.31 (count: 624)
5078.12 2855.22 933.917 782.998 1138.31 (count: 576)
5468.75 3061.45 1019.58 812.517 1229.35 (count: 528)
5859.38 3302.87 1100.25 865.286 1337.33 (count: 480)
6250 3520.95 1186.94 904.721 1429.29 (count: 432)
6640.62 3779.39 1290.25 971.644 1517.49 (count: 384)
7031.25 4005.29 1372.38 1057.98 1574.94 (count: 336)
7421.88 4216.14 1422.11 1142.85 1651.18 (count: 288)
7812.5 4447.69 1453.63 1238.64 1755.42 (count: 240)
8203.12 4687.55 1490.93 1324.7 1871.92 (count: 192)
8593.75 4960.56 1566.91 1461.45 1932.19 (count: 144)
8984.38 5297.56 1699.81 1556.57 2041.18 (count: 96)
9375 5520 1806.56 1579.31 2134.14 (count: 48)
